次の事例を読んで，次の問いに答えなさい。〔事　例〕Ｊさん（56 歳，男性）は，脳梗塞（cerebral	infarction）の後遺症で，左片麻痺と高次脳機能障害（higher	brain	dysfunction）があるために，障害者支援施設に入所して，車いすでの生活をしている。Ｊさんは，現在の施設に作業活動がないことを不満に思っていて，たびたび，妻に「職業訓練や収入を得ることが目的ではなく，のんびりと楽しみながら作業がしたい」と話している。妻はどうしたらよいのか分からず介護福祉職に相談した。介護福祉職は，Ｊさんが利用できるプログラムについて検討した。その結果，Ｊさんに合った創作的活動を取り入れたプログラムを実施することになった。Ｊさんが利用している日中のサービスとして，最も適切なものを 1 つ選びなさい。,4,重度訪問介護,就労移行支援,居宅介護,就労継続支援Ａ型,生活介護,正解:生活介護,あ
次の事例を読んで，次の問いに答えなさい。〔事　例〕Ｊさん（56 歳，男性）は，脳梗塞（cerebral	infarction）の後遺症で，左片麻痺と高次脳機能障害（higher	brain	dysfunction）があるために，障害者支援施設に入所して，車いすでの生活をしている。Ｊさんは，現在の施設に作業活動がないことを不満に思っていて，たびたび，妻に「職業訓練や収入を得ることが目的ではなく，のんびりと楽しみながら作業がしたい」と話している。妻はどうしたらよいのか分からず介護福祉職に相談した。介護福祉職は，Ｊさんが利用できるプログラムについて検討した。その結果，Ｊさんに合った創作的活動を取り入れたプログラムを実施することになった。Ｊさんは，創作的活動に参加したが，その作業手順が複雑になると，何からやればよいのか分からなくなって，計画的に作業を進めることができない。作業をしているときのＪさんの状態として，最も適切なものを 1 つ選びなさい。,0,遂行機能障害,半側空間無視,構音障害,知的障害,記憶障害,正解:遂行機能障害,い
次の事例を読んで，次の問いに答えなさい。〔事　例〕Ｊさん（56 歳，男性）は，脳梗塞（cerebral	infarction）の後遺症で，左片麻痺と高次脳機能障害（higher	brain	dysfunction）があるために，障害者支援施設に入所して，車いすでの生活をしている。Ｊさんは，現在の施設に作業活動がないことを不満に思っていて，たびたび，妻に「職業訓練や収入を得ることが目的ではなく，のんびりと楽しみながら作業がしたい」と話している。妻はどうしたらよいのか分からず介護福祉職に相談した。介護福祉職は，Ｊさんが利用できるプログラムについて検討した。その結果，Ｊさんに合った創作的活動を取り入れたプログラムを実施することになった。Ｊさんは昼食の時に上着を汚したので，居室で着替えようとしていた。Ｊさんは，上着を手にしたまま，どうすればよいのか分からなくなった。このときのＪさんへの介護福祉職の対応として，最も適切なものを 1 つ選びなさい。,3,着替えていないことを注意する。,着替えるまで待つ。,着替えができない理由を聞く。,着替えの動作のきっかけをつくる。,着替えの手順を細かく指示する。,正解:着替えの動作のきっかけをつくる。,う
次の事例を読んで，次の問いに答えなさい。〔事　例〕Ｋ君（ 7 歳，男性）は， 3 歳の時に不随意運動型（アテトーゼ型（athetosis））脳性麻痺（cerebral	palsy）と診断された。頸部や体幹をねじらせたり，反らせたり，上肢が伸展する運動が自分の意志とは関係なく起こってしまう不随意運動型特有の症状が現れていた。時々，筋肉の緊張が強くなり，体幹や上肢の不随意運動が大きくなることもあった。知的障害は見られず，車いすを使って，近所の小学校へ通学していた。登校・下校のときだけ母親が付き添って，教室内では車いすを何とか自分で操作して過ごしていた。言葉は努力性の発語で，聞き取りにくく，同級生と意思疎通が困難なことがしばしばあったが，慣れ親しんだ友達との会話は可能であった。Ｋ君の状態に適した車いすとして，最も適切なものを 1 つ選びなさい。,4,普通型車いす,電動普通型車いす,片手駆動式普通型車いす,手動リフト式普通型車いす,リクライニング・ティルト式普通型車いす,正解:リクライニング・ティルト式普通型車いす,え
次の事例を読んで，次の問いに答えなさい。〔事　例〕Ｋ君（ 7 歳，男性）は， 3 歳の時に不随意運動型（アテトーゼ型（athetosis））脳性麻痺（cerebral	palsy）と診断された。頸部や体幹をねじらせたり，反らせたり，上肢が伸展する運動が自分の意志とは関係なく起こってしまう不随意運動型特有の症状が現れていた。時々，筋肉の緊張が強くなり，体幹や上肢の不随意運動が大きくなることもあった。知的障害は見られず，車いすを使って，近所の小学校へ通学していた。登校・下校のときだけ母親が付き添って，教室内では車いすを何とか自分で操作して過ごしていた。言葉は努力性の発語で，聞き取りにくく，同級生と意思疎通が困難なことがしばしばあったが，慣れ親しんだ友達との会話は可能であった。Ｋ君の小学校の夏休みが近づいた。母親は夏休み中にＫ君が人との交流を持てる場所がないか，Ｋ君が幼少の時から介護方法について相談していた介護福祉士であるＬ相談支援専門員に相談した。Ｌ相談支援専門員が提案するサービスとして，適切なものを 1 つ選びなさい。,3,移動支援事業,福祉型障害児入所施設,保育所等訪問支援事業,放課後等デイサービス,医療型障害児入所施設,正解:放課後等デイサービス,お
次の事例を読んで，次の問いに答えなさい。〔事　例〕Ｋ君（ 7 歳，男性）は， 3 歳の時に不随意運動型（アテトーゼ型（athetosis））脳性麻痺（cerebral	palsy）と診断された。頸部や体幹をねじらせたり，反らせたり，上肢が伸展する運動が自分の意志とは関係なく起こってしまう不随意運動型特有の症状が現れていた。時々，筋肉の緊張が強くなり，体幹や上肢の不随意運動が大きくなることもあった。知的障害は見られず，車いすを使って，近所の小学校へ通学していた。登校・下校のときだけ母親が付き添って，教室内では車いすを何とか自分で操作して過ごしていた。言葉は努力性の発語で，聞き取りにくく，同級生と意思疎通が困難なことがしばしばあったが，慣れ親しんだ友達との会話は可能であった。Ｋ君は 2 年生になった。 4 月にクラス替えで，新しい同級生が多くなり，Ｋ君の言葉が分からないという理由で関係がうまくいかなくなった。そのため，Ｋ君の筋肉の緊張は今までよりも強くなり，不随意運動も大きくなった。給食の時に食べ物をうまく口に運べなくて，担任の先生が介助する場面が増えてきた。担任の先生から，この状況を聞いた母親は心配になって，Ｋ君の学校での食事について，Ｌ相談支援専門員に相談をした。Ｌ相談支援専門員の助言として，最も適切なものを 1 つ選びなさい。,2,クラスの同級生と会話をしながら食事をする。,自助具を使用して自力で食べる。,リラックスできる環境を作って，自力で食事ができるように支援する。,途中まで自力で食べてもらって，その後は介助する。,仲の良い友達を選んで，食事介助をしてもらう。,正解:リラックスできる環境を作って，自力で食事ができるように支援する。,か
次の事例を読んで，次の問いに答えなさい。〔事　例〕Ｍさん（71 歳，女性）は，仕事を持つ息子と二人で生活している。最近，鍋を焦がすことがあったり，買物をして家に帰れなくなったりすることがあった。心配した息子が受診させたところ，アルツハイマー型認知症（dementia	of	the	Alzheimer’s	type）と診断された。要介護認定で要介護 1 となり，訪問介護（ホームヘルプサービス）を利用することになった。Ｍさんは，訪問介護員（ホームヘルパー）と息子以外の人との接触はなく，テレビの前で過ごしていることが多い。心配した息子は，通所介護（デイサービス）を勧めたが，一人で通うことが不安で，利用を拒んでいた。このままだと認知症（dementia）が悪化するのではないかと息子の不安が大きくなっていた。息子は，Ｍさんが少しでも多く外出して，人と話すような機会を設けたいと考えて，訪問介護員（ホームヘルパー）に相談した。次のうち，Ｍさんが息子と一緒に利用できるものとして，最も適切なものを 1 つ選びなさい。,0,認知症カフェ,生活支援ハウス,地域活動支援センター,通所リハビリテーション,就労継続支援Ｂ型,正解:認知症カフェ,き
次の事例を読んで，次の問いに答えなさい。〔事　例〕Ｍさん（71 歳，女性）は，仕事を持つ息子と二人で生活している。最近，鍋を焦がすことがあったり，買物をして家に帰れなくなったりすることがあった。心配した息子が受診させたところ，アルツハイマー型認知症（dementia	of	the	Alzheimer’s	type）と診断された。要介護認定で要介護 1 となり，訪問介護（ホームヘルプサービス）を利用することになった。Ｍさんは，訪問介護員（ホームヘルパー）と息子以外の人との接触はなく，テレビの前で過ごしていることが多い。心配した息子は，通所介護（デイサービス）を勧めたが，一人で通うことが不安で，利用を拒んでいた。このままだと認知症（dementia）が悪化するのではないかと息子の不安が大きくなっていた。Ｍさんは，訪問介護員（ホームヘルパー）と一緒に調理していたが，最近，途中で動作が止まってしまうことがあった。調理の途中で，動作が止まってしまうＭさんへの支援として，最も適切なものを1 つ選びなさい。,2,本人が調理動作を行うまで待つ。,本人に代わって調理を行う。,ジェスチャーを使って調理動作のヒントを出す。,調理動作が楽にできる自助具を用意する。,調理動作の手順書を渡して覚えてもらう。,正解:ジェスチャーを使って調理動作のヒントを出す。,く
次の事例を読んで，次の問いに答えなさい。〔事　例〕Ｍさん（71 歳，女性）は，仕事を持つ息子と二人で生活している。最近，鍋を焦がすことがあったり，買物をして家に帰れなくなったりすることがあった。心配した息子が受診させたところ，アルツハイマー型認知症（dementia	of	the	Alzheimer’s	type）と診断された。要介護認定で要介護 1 となり，訪問介護（ホームヘルプサービス）を利用することになった。Ｍさんは，訪問介護員（ホームヘルパー）と息子以外の人との接触はなく，テレビの前で過ごしていることが多い。心配した息子は，通所介護（デイサービス）を勧めたが，一人で通うことが不安で，利用を拒んでいた。このままだと認知症（dementia）が悪化するのではないかと息子の不安が大きくなっていた。息子は，Ｍさんへの適切な支援方法について訪問介護員（ホームヘルパー）に相談した。息子に対する訪問介護員（ホームヘルパー）の助言として，最も適切なものを 1 つ選びなさい。,4,Ｍさんを認知症対応型共同生活介護（グループホーム）へ入居させるように勧める。,Ｍさんに買物をさせないようにする。,Ｍさんと一緒にテレビを見るように勧める。,Ｍさんが失敗したらそのたびに指摘する。,Ｍさんのできることを見つけて，一緒に行うように勧める。,正解:Ｍさんのできることを見つけて，一緒に行うように勧める。,け
次の事例を読んで，次の問いに答えなさい。〔事　例〕Ａさん（70 歳，女性）は，20 年前に 2 型糖尿病（diabetes	mellitus、type2）を発症して， 8 年前から血糖値の自己測定とインスリン（insulin）の自己注射を朝食前に行っている。 4 年前から変へんけいせいしつかんせつしょう形性膝関節症（knee	osteoarthritis）が悪化して車いすの生活となり，自宅での生活が少しずつ困難になった。要介護 3 と認定されて， 2 年前に介護老人福祉施設に入所した。入所後も，血糖値の自己測定とインスリン（insulin）の自己注射は介護福祉職の見守りのもとに行っていて，空腹時血糖値は 120〜150 mg/dl でコントロールされていた。ある日の夜中に数回にわたって下痢便が見られ，起床時には嘔吐し，腹痛と発熱が見られた。Ａさんに確認すると， 2 日前に知人と外出して貝を生で食べたことが分かった。その後も嘔吐，腹痛が止まらないので，ノロウイルス（Norovirus）の感染が疑われた。原因が分かるまでの間，施設内感染の対策で，Ａさんの吐物を拭き取るときに用いるものとして，正しいものを 1 つ選びなさい。,3,ぬるま湯,消毒用エタノール溶液,ベンザルコニウム塩化物溶液,次亜塩素酸ナトリウム溶液,クロルヘキシジングルコン酸塩溶液,正解:次亜塩素酸ナトリウム溶液,こ
次の事例を読んで，次の問いに答えなさい。〔事　例〕Ａさん（70 歳，女性）は，20 年前に 2 型糖尿病（diabetes	mellitus、	type2）を発症して， 8 年前から血糖値の自己測定とインスリン（insulin）の自己注射を朝食前に行っている。 4 年前から変へんけいせいしつかんせつしょう形性膝関節症（knee	osteoarthritis）が悪化して車いすの生活となり，自宅での生活が少しずつ困難になった。要介護 3 と認定されて， 2 年前に介護老人福祉施設に入所した。入所後も，血糖値の自己測定とインスリン（insulin）の自己注射は介護福祉職の見守りのもとに行っていて，空腹時血糖値は 120〜150 mg/dl でコントロールされていた。ある日の夜中に数回にわたって下痢便が見られ，起床時には嘔吐し，腹痛と発熱が見られた。朝食前に介護福祉職がＡさんの様子を観察すると，冷や汗，動悸，めまいなどの症状はなく，血糖値は 130 mg/dl であった。Ａさんは，嘔気，腹痛があり食欲がないと訴えた。看護職に報告するまでの間に，介護福祉職がＡさんに説明する内容として，最も適切なものを 1 つ選びなさい。,4,インスリン（insulin）の量を増やして，自己注射をする。,インスリン（insulin）の量を減らして，自己注射をする。,インスリン（insulin）の自己注射をして，朝食を食べる。,インスリン（insulin）の自己注射をしないで，朝食を食べる。,インスリン（insulin）の自己注射をしないで，朝食を食べない。,正解:インスリン（insulin）の自己注射をしないで，朝食を食べない。,さ
次の事例を読んで，次の問いに答えなさい。〔事　例〕Ａさん（70 歳，女性）は，20 年前に 2 型糖尿病（diabetes	mellitus、	type2）を発症して， 8 年前から血糖値の自己測定とインスリン（insulin）の自己注射を朝食前に行っている。 4 年前から変へんけいせいしつかんせつしょう形性膝関節症（knee	osteoarthritis）が悪化して車いすの生活となり，自宅での生活が少しずつ困難になった。要介護 3 と認定されて， 2 年前に介護老人福祉施設に入所した。入所後も，血糖値の自己測定とインスリン（insulin）の自己注射は介護福祉職の見守りのもとに行っていて，空腹時血糖値は 120〜150 mg/dl でコントロールされていた。ある日の夜中に数回にわたって下痢便が見られ，起床時には嘔吐し，腹痛と発熱が見られた。Ａさんの症状は，治療を受けて 1 週間ほどで回復した。しかし，その後，ぼんやりとした表情で過ごすことが多くなり，何事にもやる気がない様子で，「つらいから死にたい」と口にすることが多くなった。Ａさんの訴えに対する介護福祉職の応答として，最も適切なものを 1 つ選びなさい。,1,「つらいことは考えない方がいいですね」,「死にたいぐらい，つらいのですね」,「死にたいと言うと，つらい気持ちが強くなりますね」,「死にたいと言うと，周りの人もつらくなりますね」,「つらいことよりも楽しいことを考えるといいですね」,正解:「死にたいぐらい，つらいのですね」,し